"sourceNode","targetNode"
"Callee(/Users/Alexi/Documents/Projects/ApproximateCallGraphAnalysis/ApproximateCallGraphBenchmarks/LiteScript/devel/test.js:<36,5>--<36,21>)","Fun(/Library/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<1117,12>--<1117,25>)"
"Callee(/Users/Alexi/Documents/Projects/ApproximateCallGraphAnalysis/ApproximateCallGraphBenchmarks/LiteScript/devel/test.js:<36,5>--<36,21>)","Fun(/Library/codeql-home/codeql/javascript/tools/data/externs/nodejs/globals.js:<1962,25>--<1962,60>)"
"Callee(/Users/Alexi/Documents/Projects/ApproximateCallGraphAnalysis/ApproximateCallGraphBenchmarks/LiteScript/devel/test.js:<36,5>--<36,21>)","Fun(/Library/codeql-home/codeql/javascript/tools/data/externs/nodejs/globals.js:<1968,25>--<1968,45>)"
"Callee(/Users/Alexi/Documents/Projects/ApproximateCallGraphAnalysis/ApproximateCallGraphBenchmarks/LiteScript/devel/test.js:<37,5>--<37,77>)","Fun(/Library/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<1117,12>--<1117,25>)"
"Callee(/Users/Alexi/Documents/Projects/ApproximateCallGraphAnalysis/ApproximateCallGraphBenchmarks/LiteScript/devel/test.js:<37,5>--<37,77>)","Fun(/Library/codeql-home/codeql/javascript/tools/data/externs/nodejs/globals.js:<1962,25>--<1962,60>)"
"Callee(/Users/Alexi/Documents/Projects/ApproximateCallGraphAnalysis/ApproximateCallGraphBenchmarks/LiteScript/devel/test.js:<37,5>--<37,77>)","Fun(/Library/codeql-home/codeql/javascript/tools/data/externs/nodejs/globals.js:<1968,25>--<1968,45>)"
"Callee(/Users/Alexi/Documents/Projects/ApproximateCallGraphAnalysis/ApproximateCallGraphBenchmarks/LiteScript/devel/test.js:<37,18>--<37,76>)","Fun(/Library/codeql-home/codeql/javascript/tools/data/externs/nodejs/path.js:<107,17>--<107,37>)"
"Callee(/Users/Alexi/Documents/Projects/ApproximateCallGraphAnalysis/ApproximateCallGraphBenchmarks/LiteScript/devel/test.js:<37,18>--<37,76>)","Fun(/Library/codeql-home/codeql/javascript/tools/data/externs/nodejs/path.js:<181,23>--<181,43>)"
"Callee(/Users/Alexi/Documents/Projects/ApproximateCallGraphAnalysis/ApproximateCallGraphBenchmarks/LiteScript/devel/test.js:<37,18>--<37,76>)","Fun(/Library/codeql-home/codeql/javascript/tools/data/externs/nodejs/path.js:<256,23>--<256,43>)"
"Callee(/Users/Alexi/Documents/Projects/ApproximateCallGraphAnalysis/ApproximateCallGraphBenchmarks/LiteScript/devel/test.js:<38,5>--<38,83>)","Fun(/Library/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<1117,12>--<1117,25>)"
"Callee(/Users/Alexi/Documents/Projects/ApproximateCallGraphAnalysis/ApproximateCallGraphBenchmarks/LiteScript/devel/test.js:<38,5>--<38,83>)","Fun(/Library/codeql-home/codeql/javascript/tools/data/externs/nodejs/globals.js:<1962,25>--<1962,60>)"
"Callee(/Users/Alexi/Documents/Projects/ApproximateCallGraphAnalysis/ApproximateCallGraphBenchmarks/LiteScript/devel/test.js:<38,5>--<38,83>)","Fun(/Library/codeql-home/codeql/javascript/tools/data/externs/nodejs/globals.js:<1968,25>--<1968,45>)"
